procuringEntity.id,ocid,nf016
EC-RUC-1760004650001-39594,ocds-5wno2w-LICS-IESS-SNCP-01-20-39594,1
EC-RUC-1760004650001-39594,ocds-5wno2w-MCO-IESS-DPG-01-21-39594,1
EC-RUC-1760004650001-39594,ocds-5wno2w-MCO-IESS-DPM-2020-02-39594,1
EC-RUC-1760004650001-39594,ocds-5wno2w-RSIE-HOSNAG-030-2022-2706,1
EC-RUC-1760004650001-39594,ocds-5wno2w-SIE-CELEGU-105-21-238940,1
EC-RUC-1760004650001-39594,ocds-5wno2w-SIE-HVCM-040-2021-12070,1
EC-RUC-1760004650001-39594,ocds-5wno2w-SIE-UNL-025-2021-4092,1
EC-RUC-176000465000143-454713,ocds-5wno2w-SIE-IESS-DPG-006-19-454713,1
EC-RUC-176000465000143-454713,ocds-5wno2w-SIE-IESS-DPG-013-19-454713,1
EC-RUC-176000465000166-456943,ocds-5wno2w-SIE-IESSCPSSCG-03-19-456943,1
EC-RUC-1760005540001-32713,ocds-5wno2w-RE-PU-UCE-001-2019-32713,1
EC-RUC-176000465000166-456943,ocds-5wno2w-SIE-IESSCPSSCG-04-19-456943,1
EC-RUC-17600046500017-176266,ocds-5wno2w-SIE-IESS-SDNCP-04-19-176266,1
EC-RUC-17600046500017-176266,ocds-5wno2w-SIE-IESS-SDNCP-16-19-176266,1
EC-RUC-1760005030001-85613,ocds-5wno2w-CE-20210002008413-390394,1
EC-RUC-1760005030001-85613,ocds-5wno2w-RE-AME-004-2020-85613,1
EC-RUC-1760005030001-85613,ocds-5wno2w-RE-CNE-UPDPSIECA-010-121514,1
